""	KS01	KS02	KS03	KS04	KS05	KS06	KS07	KS08	KS09	KS10	KS11	KS12	KS13	KS14	KS15	KS16	KS17	KS18	KS19	KS20	KS21	KS22	KS23	KS24	KS25	KS26	KS27	KS29	KS30	KW01	KW02	KW03	KW04	KW05	KW06	KW07	KW08	KW09	KW10	KW11	KW12	KW13	KW14	KW15	KW16	KW17	KW18	KW19	KW20	KW21	KW22	KW23	KW24	KW25	KW26	KW27	KW28	KW29	KW30	RS01	RS02	RS03	RS04	RS05	RS06	RS07	RS08	RS09	RS10	RS11	RS12	RS13	RS14	RS15	RS16	RS17	RS18	RS19	RS20	RS21	RS22	RS23	RS24	RS25	RS26	RS27	RS28	RS29	RS30	RS31	RS32	RS33	RS34	RS35	RS36	RS37	RS38	RW01	RW02	RW03	RW04	RW05	RW06	RW07	RW08	RW09	RW10	RW11	RW12	RW13	RW14	RW15	RW16	RW17	RW18	RW19	RW20	RW21	RW22	RW23	RW24	RW25	RW26	RW27	RW28	RW29	RW33	RW34	RW35	RW36	RW37	RW38	ZS01	ZS02	ZS03	ZS04	ZS05	ZS06	ZS07	ZS08	ZS09	ZS10	ZS11	ZS12	ZS13	ZS14	ZS15	ZS16	ZS17	ZS18	ZS19	ZS20	ZS21	ZS22	ZS23	ZS24	ZS25	ZS26	ZS28	ZS29	ZW01	ZW02	ZW03	ZW04	ZW05	ZW06	ZW07	ZW08	ZW09	ZW10	ZW11	ZW12	ZW13	ZW14	ZW15	ZW16	ZW17	ZW18	ZW19	ZW20	ZW21	ZW22	ZW23	ZW24	ZW25	ZW26	ZW27	ZW28	ZW29
Rutilus rutilus	0	0	0	0	0	0	52960	2968	0	0	0	0	1436	6696	8927	12815	0	11626	0	6960	3781	38075	22409	33994	14223	7838	23506	27437	52989	0	0	0	0	0	0	8037	812	0	0	99	324	869	101	0	0	546	0	0	1206	0	0	0	0	0	0	0	0	0	1029	326465	4266	0	0	0	0	12122	23140	0	133368	137157	5627	19404	27517	4003	0	0	3168	14726	4412	0	11770	35186	10109	33523	73935	27901	6330	20535	15512	3634	923	916	50079	0	4766	34319	1457	208556	0	0	0	3508	0	0	0	1646	10144	0	0	3046	958	5855	0	2611	26291	6073	6918	3373	3428	3586	0	15316	10371	13324	6639	7601	1762	816	3567	969	4905	1667	0	49901	3482	0	0	5470	34557	0	0	0	0	30757	58220	1616	1139	1057	21997	26692	760	3250	20895	45805	13127	886	36390	1359	54338	14798	3550	2569	0	18521	0	0	10311	2267	6064	7416	1876	50	4659	952	2900	0	1885	10556	4701	21306	16929	9223	1124	14878	23643	0	2658	2892	3050
Sander+Perca	10250	4507	0	0	8369	0	28769	6933	0	0	0	2915	12663	13195	0	0	0	6289	29633	4002	2567	47505	48801	11041	39098	4355	23335	2873	37832	0	4756	0	0	0	0	1433	3356	911	0	0	364	442	1878	1096	0	320	0	6607	556	0	4624	8828	1235	0	635	0	2302	9911	12024	147569	35380	0	6316	0	0	79981	14889	0	114032	111610	0	62295	11691	8841	0	2961	0	46630	22993	0	7598	27942	5022	2960	44508	90933	18091	9821	49525	11706	2374	5137	28851	2351	0	33182	13069	16247	45865	0	16608	3282	0	2631	32329	0	6042	2379	0	3677	5202	0	0	0	9285	22930	19794	3549	5024	24024	3415	28327	1877	10739	9835	4485	9326	4191	0	0	4700	2041	0	38385	0	0	0	0	18766	1726	1196	0	0	33433	8964	0	0	0	8517	20286	883	4216	16296	22660	11461	4753	24243	590	48617	86877	3829	2634	0	1597	9729	11468	9130	5200	1608	3982	401	1175	0	0	0	4374	8130	10748	9125	5781	2136	9750	1364	2440	1708	452	2280	3424	3355
Abramis brama	0	0	0	19364	0	0	0	0	0	0	2183	0	0	0	0	10466	2126	1709	0	5287	7149	8530	18720	15645	41487	3455	19659	0	0	932	960	0	0	274	0	3646	0	885	967	0	1853	0	213	0	0	0	1464	7679	605	0	0	2150	0	0	0	752	2022	0	1181	68044	6948	0	0	0	0	23047	0	0	264779	101592	0	47636	1365	11858	12155	0	0	0	0	2988	4587	6469	6615	2516	2927	98253	14930	13884	16746	9940	6171	2322	736	4221	3093	4263	0	33245	6445	0	0	12514	0	13113	4305	7884	17066	1278	1222	21529	5455	8997	11436	5910	33072	16830	25095	11076	5511	12714	9833	27167	6637	11526	10290	45319	19130	544	8376	7016	581	0	251	1608	929	0	0	0	1544	1243	1771	0	0	0	0	0	1331	0	908	1011	0	0	2264	0	883	0	826	0	0	0	1791	0	0	0	0	0	3446	2415	0	2615	795	0	0	0	0	0	813	0	0	2407	0	806	0	3875	969	1175	547	2016	0
Aspius+Scardinius	5230	0	0	0	0	0	47022	703	2113	0	0	0	3411	19228	0	0	0	0	0	0	7741	22162	2757	17640	0	1310	12795	30254	1424	0	0	6169	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	504	0	0	786	0	1412	92	0	17731	1913	3776	0	0	0	12267	0	3476	7144	8455	18629	4702	5267	939	20175	0	3302	4430	1028	1804	699	10178	3140	0	845	5453	3617	0	1060	1801	675	0	1319	2225	0	2893	0	19513	0	0	0	0	0	0	0	0	84931	0	0	2740	0	0	0	661	0	0	0	4214	0	0	0	0	0	738	0	0	0	0	0	0	486	2013	0	7553	0	615	0	0	6004	0	0	1018	736	711	7311	9371	0	0	2295	2999	0	1028	4186	1625	3210	0	11784	0	5668	2652	0	2900	0	0	0	4509	4214	0	0	0	0	0	0	550	0	1686	0	0	1524	0	0	0	1236	1049	0	921	2043	0	2159
Alburnus alburnus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26727	4896	0	0	0	0	18412	0	0	203153	22384	0	35942	3703	7296	0	0	0	2614	11282	0	1665	9608	6704	14879	17516	5046	6452	7544	2072	2182	568	2330	4306	3375	0	4846	0	7626	0	0	0	0	0	0	2143	0	25468	0	1318	0	0	0	8452	5225	7392	7268	10243	8557	0	3093	0	6662	0	3708	2254	0	0	0	0	1175	1094	645	0	289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Esox lucius	0	0	0	0	0	0	16124	4761	0	0	0	0	1176	1490	0	0	0	0	0	0	3713	17264	0	0	0	0	4412	1070	876	0	0	0	0	1835	0	482	3295	0	365	0	0	0	92	0	0	0	1241	0	0	0	485	1197	0	0	0	0	0	124	0	4114	5119	0	0	0	0	0	0	0	0	6840	0	0	0	0	0	0	0	0	0	0	823	0	0	267	808	0	0	429	1958	94	0	186	3090	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11084	0	0	0	0	0	0	0	1597	1415	1823	336	0	0	0	0	0	282	9191	0	0	0	0	306	124506	0	0	0	4466	6556	0	0	0	0	4974	103	0	2064	1541	479	0	193	469	10238	0	0	0	0	0	0	0	4328	0	0	0	488	0	0	0	0	940	0	0	3574	0	512	0	1143	0	0	0	0	0	0
Cyprinus carpio	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	275	6406	1829	0	0	0	0	0	0	0	0	2382	1858	0	5890	0	0	0	0	0	0	0	0	0	2544	0	0	0	4421	594	0	2345	591	0	0	0	0	0	1432	0	9611	0	0	10913	0	0	0	0	0	10241	0	620	0	0	0	5875	0	0	330	16746	0	0	0	3614	0	0	7406	7265	1104	3559	776	0	0	10938	51375	0	0	0	0	0	0	1112	621	0	2546	527	917	752	1006	1374	0	1636	0	0	1806	4603	2665	3493	0	1151	0	0	0	3321	6007	0	0	8682	2322	13320	0	761	2343	1789	0	917	0	3297	4084	0	0	444	3946	630	3810	0	3519	611	240	0	0	0
L.idus+leuciscus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20817	0	0	0	0	0	0	0	0	12990	3127	0	0	0	0	0	0	0	0	0	0	0	0	1148	4181	614	0	0	0	0	0	0	0	1759	0	0	11067	3171	8985	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7680	2215	3708	0	0	0	0	4185	0	0	13075	0	0	0	0	12959	0	960	0	0	552	0	0	0	0	0	1280	3635	0	0	0	0	0	4980	0	28181	40748	0	0	0	2051	0	0	0	0	0	2649	0	0	0	0	0	1364	0	0	0	0	1086	2910	607	2453	0	626	0	1193	0
Silurus glanis	0	4206	0	0	0	0	0	0	0	0	0	0	0	1479	0	0	0	0	0	0	1283	3097	0	0	0	0	7568	8420	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29425	8519	0	1075	1160	0	3081	0	0	0	0	0	4204	0	0	0	0	0	0	921	15190	2596	1738	533	1207	0	0	1514	2363	496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4548	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	472	0	0	0	1633	0	2136	0	0	0	1318	0	0	0	0	0	0	0	0	0	313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Oncorhynchus mykiss	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	216	0	0	0	0	0	0	0	0	0	0	0	0	0	1130	0	0	0	0	5655	4784	0	0	4562	0	0	645	0	20866	16507	11592	0	0	0	0	13326	17673	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
